Category,Month,Longitude,Latitude,Count
Anti_Social,1,-5.2927029999999995,50.222272,1
Anti_Social,1,-5.292292,50.261264000000004,1
Anti_Social,1,-5.292177,50.234576000000004,1
Anti_Social,1,-5.2920440000000015,50.215562,4
Anti_Social,1,-5.292044000000001,50.215562,8
Anti_Social,1,-5.291261,50.211518,1
Anti_Social,1,-5.289893,50.220562,1
Anti_Social,1,-5.289822,50.222579,1
Anti_Social,1,-5.28861,50.222496,1
Anti_Social,1,-5.288101999999999,50.223473,1
Anti_Social,1,-5.287396,50.232777,3
Anti_Social,1,-5.287043,50.212357,2
Anti_Social,1,-5.286715,50.210234,1
Anti_Social,1,-5.286448,50.221442,1
Anti_Social,1,-5.286071,50.215956,1
Anti_Social,1,-5.285654,50.213359,1
Anti_Social,1,-5.285654,50.213359000000004,1
Anti_Social,1,-5.285056,50.209354,1
Anti_Social,1,-5.284883,50.211518,2
Anti_Social,1,-5.284581,50.223033,2
Anti_Social,1,-5.2841510000000005,50.21229500000001,1
Anti_Social,1,-5.283683,50.221808,5
Anti_Social,1,-5.283441000000001,50.221545,1
Anti_Social,1,-5.2830949999999985,50.211407,1
Anti_Social,1,-5.282915,50.205727,2
Anti_Social,1,-5.2829,50.194293,2
Anti_Social,1,-5.282277,50.215424,4
Anti_Social,1,-5.281865,50.21289,2
Anti_Social,1,-5.28161,50.211431,2
Anti_Social,1,-5.281075,50.223645,10
Anti_Social,1,-5.279642,50.224423,4
Anti_Social,1,-5.279269,50.101420000000005,1
Anti_Social,1,-5.279269,50.10142000000001,1
Anti_Social,1,-5.279204,50.097814,2
Anti_Social,1,-5.279033,50.100014,2
Anti_Social,1,-5.2781970000000005,50.200507,1
Anti_Social,1,-5.277576,50.206975,2
Anti_Social,1,-5.277247,50.099866999999996,1
Anti_Social,1,-5.277247,50.099867,2
Anti_Social,1,-5.276036,50.112658,1
Anti_Social,1,-5.275998,50.100631,3
Anti_Social,1,-5.275853,50.226833,7
Anti_Social,1,-5.275625,50.101307,2
Anti_Social,1,-5.275238,50.095848,3
Anti_Social,1,-5.274398000000001,50.095215,1
Anti_Social,1,-5.273855,50.214466,1
Anti_Social,1,-5.273208,50.220359,1
Anti_Social,1,-5.272723,50.095459999999996,1
Anti_Social,1,-5.2709790000000005,50.228761,1
Anti_Social,1,-5.270097,50.113158,1
Anti_Social,1,-5.270009,50.096895,1
Anti_Social,1,-5.2698230000000015,50.097243,1
Anti_Social,1,-5.269823000000001,50.097243,1
Anti_Social,1,-5.269406,50.239385,1
Anti_Social,1,-5.268898,50.228271,2
Anti_Social,1,-5.268243,50.100526,2
Anti_Social,1,-5.267971,50.22764,1
Anti_Social,1,-5.267275,50.249448,1
Anti_Social,1,-5.26715,50.225684,2
Anti_Social,1,-5.2670650000000006,50.223203999999996,4
Anti_Social,1,-5.2670650000000006,50.223204,2
Anti_Social,1,-5.266985,50.224096,6
Anti_Social,1,-5.2659129999999985,50.104514,1
Anti_Social,1,-5.264748,50.233011,2
Anti_Social,1,-5.263463,50.226723,1
Anti_Social,1,-5.262752,50.221030999999996,1
Anti_Social,1,-5.262752,50.221031,2
Anti_Social,1,-5.261644,50.227809,2
Anti_Social,1,-5.261025,50.231272,1
Anti_Social,1,-5.26069,50.23335,1
Anti_Social,1,-5.259583,50.243232,1
Anti_Social,1,-5.259014,50.232831,2
Anti_Social,1,-5.257435,50.229214,3
Anti_Social,1,-5.257285,50.230306,2
Anti_Social,1,-5.256265,50.227078000000006,2
Anti_Social,1,-5.251823,50.156017,1
Anti_Social,1,-5.24855,50.231577,1
Anti_Social,1,-5.246516000000001,50.024524,1
Anti_Social,1,-5.246007,50.230685,3
Anti_Social,1,-5.24077,50.285968,3
Anti_Social,1,-5.2407699999999995,50.285968,1
Anti_Social,1,-5.239811,50.200533,1
Anti_Social,1,-5.239393,50.285125,2
Anti_Social,1,-5.236594,50.2381,3
Anti_Social,1,-5.2363300000000015,50.109292,1
Anti_Social,1,-5.236330000000001,50.109291999999996,1
Anti_Social,1,-5.2353260000000015,50.239674,1
Anti_Social,1,-5.235326000000001,50.239674,1
Anti_Social,1,-5.235252,50.236095,2
Anti_Social,1,-5.2347150000000005,50.239763,1
Anti_Social,1,-5.234115,50.241048,1
Anti_Social,1,-5.233823,50.231970000000004,1
Anti_Social,1,-5.2325599999999985,50.23259,1
Anti_Social,1,-5.232464,50.236344,3
Anti_Social,1,-5.2312660000000015,50.234398,2
Anti_Social,1,-5.231266000000001,50.234398,1
Anti_Social,1,-5.231226,50.24188400000001,2
Anti_Social,1,-5.2309220000000005,50.234705,2
Anti_Social,1,-5.230461,50.240115,1
Anti_Social,1,-5.229977,50.233381,7
Anti_Social,1,-5.2294540000000005,50.23892,1
Anti_Social,1,-5.2291370000000015,50.233405,1
Anti_Social,1,-5.228959,50.234291,3
Anti_Social,1,-5.2285449999999996,50.232738,1
Anti_Social,1,-5.228319,50.236855,1
Anti_Social,1,-5.228142,50.233612,4
Anti_Social,1,-5.227519999999999,50.232712,1
Anti_Social,1,-5.227519999999998,50.232712,2
Anti_Social,1,-5.22724,50.233143,3
Anti_Social,1,-5.226978,50.240887,4
Anti_Social,1,-5.226924,50.23594,2
Anti_Social,1,-5.2269239999999995,50.23137,1
Anti_Social,1,-5.2269239999999995,50.23594,1
Anti_Social,1,-5.22687,50.231813,1
Anti_Social,1,-5.226344,50.233986,11
Anti_Social,1,-5.225379,50.232574,1
Anti_Social,1,-5.224736,50.23718,1
Anti_Social,1,-5.2238940000000005,50.229493,1
Anti_Social,1,-5.223404,50.234068,1
Anti_Social,1,-5.222906,50.236052,1
Anti_Social,1,-5.22233,50.229582,3
Anti_Social,1,-5.221241,50.227786,1
Anti_Social,1,-5.220434,50.226846,1
Anti_Social,1,-5.220059,50.236671,2
Anti_Social,1,-5.219281,50.239067,1
